Authors,Title,Source title,Link,Abstract
"Seuring S., Brandenburg M., Sauer P.C., Schünemann D.-S., Warasthe R., Aman S., Qian C., Petljak K., Neutzling D.M., Land A., Khalid R.U.",Comparing regions globally: impacts of COVID-19 on supply chains – a Delphi study,International Journal of Operations and Production Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131623942&doi=10.1108%2fIJOPM-10-2021-0675&partnerID=40&md5=5b512300db63a67ba4608f21c6ac492c,"Purpose: The COVID-19 pandemic has challenged supply chains (SCs) around the globe unprecedentedly. This study aims to gain insights on the impacts of the pandemic on SCs and their management under consideration of different regional contexts on a global scale. Design/methodology/approach: A Delphi study collects the expertise of global SC academics on the SC vulnerabilities and the measures for responding to disruptions, improving resilience, and restoring operations. Data from three polls are systematically analyzed by content, frequency, and cluster analysis. Findings: The study identifies and ranks ten major issues related to SC vulnerabilities and management strategies for specific SC processes and geographical regions. Detected differences among the considered geographical regions point towards particular challenges and call for specific measures to integrate regional contingencies into SC management. In a regional comparison, China and Iran as well as Africa clearly stand out, but also Europe/North America, India/Pakistan, and Brazil show geographical particularities. Research limitations/implications: The responses are collected against the COVID-19 pandemic, while the findings show differences among the regions thereby arguing for taking regional contingencies into account in managing SCs. Practical implications: SC resilience is a core aim, which was emphasized by the COVID-19 pandemic. The findings provide insights and challenges that managers would have to meet in the different regions covered. Originality/value: This paper contributes to existing knowledge on SC risks and SC resilience in context to extreme situations. Given that events, such as the COVID-19 pandemic, will become more frequent in the future due to climate change and geopolitical tensions, insights into how to manage SCs under extreme conditions and into regional differences are crucial."
"Sauer P.C., Silva M.E., Schleper M.C.",Supply chains' sustainability trajectories and resilience: a learning perspective in turbulent environments,International Journal of Operations and Production Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130519287&doi=10.1108%2fIJOPM-12-2021-0759&partnerID=40&md5=bbd10f9e471762227fd35f5f5ff3f9bf,"Purpose: While various supply chain (SC) sustainability investigations exist, their connection to supply chain resilience (SCRes) remains largely unexplored. To fill this gap, the authors answer the question: “How do firms' sustainability actions affect their SCs' resilience and sustainability trajectories in turbulent environments?"" by exploring the context of the COVID-19 pandemic. Design/methodology/approach: The authors conducted 10 case studies in five industries located in six European countries. A total of 19 semi-structured interviews and relevant secondary data were collected and analyzed in reference to SC sustainability learning and the literature on SCRes approaches (i.e. engineering, ecological and social-ecological). Findings: 31 SC actions referring to different sustainability dimensions were identified to map SCRes learning through a temporal, spatial and functional scale analysis. While five cases are related to an engineering approach focused on “bouncing back” to pre-pandemic goals, three cases were focused on “bouncing forward” as part of an ecological approach. Moreover, the authors identified the existence of two social-ecological resilience cases which developed long-term actions, updating functional set-ups transcending the SC level. The results furthermore illustrate an influence of the SCRes approaches on SC sustainability learning, generating three different paths: flat, flat ascending and ascending SC sustainability trajectories. Research limitations/implications: The study develops an overview of the adoption of SCRes approaches due to temporal, spatial and functional scales, and their effect on SC sustainability trajectories through exploitation and exploration capabilities. Future research should elaborate on potential moderators in the proposed relationships. Practical implications: A better understanding of the link between SC sustainability actions and SCRes will help practitioners to make better informed decisions in turbulent environments. Originality/value: Unlike previous research, this paper provides empirical evidence on engineering, ecological and social-ecological SCRes approaches, as well as SC sustainability trajectories."
"Sindhwani R., Singh P.L., Behl A., Afridi M.S., Sammanit D., Tiwari A.K.",Modeling the critical success factors of implementing net zero emission (NZE) and promoting resilience and social value creation,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132426525&doi=10.1016%2fj.techfore.2022.121759&partnerID=40&md5=e21b9d6a2c4e525132488f893bc5c5e2,"An urgent need for reasonable practices has been introduced and familiarized in institutions in every sector to control the impending disaster due to climate change. Significant steps have been initiated to control the escalating emissions, climate change, and global warming. Recently, an international contract was signed in Paris targeting net zero emissions by 2050. This study was conducted to positively support the cause and assist in its progress. This study identifies some of the critical factors hindering the progress of net-zero emission (NZE)-supporting technologies and methods within firms in various sectors. For a broader understanding of these factors, they were sorted according to suitable criteria. A novel methodological approach of PF-Delphi-AHP-CoCoSo and sensitivity analysis was utilized to draw results regarding the priority of consideration for the critical factors relating to the importance of their criteria. A questionnaire was prepared, and a panel of experts was consulted for their opinions, according to which the analysis was conducted. The results show that managerial issues and a lack of professional expertise have the highest importance, meaning that these are the key fields where attention is needed to implement the NZE agenda."
"Cohen M., Cui S., Doetsch S., Ernst R., Huchzermeier A., Kouvelis P., Lee H., Matsuo H., Tsay A.A.",Bespoke supply-chain resilience: The gap between theory and practice,Journal of Operations Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130990225&doi=10.1002%2fjoom.1184&partnerID=40&md5=e53fe9c258394473e855966d9cf58cd7,"Recent research has documented that companies are pursuing a variety of strategies to enhance supply-chain resilience. This paper examines how managers actually think about resilience strategies, and then analyzes the relationship between operations, supply-chain characteristics, and the implemented strategies. We define a “Triple-P” framework that matches resilience strategies to supply-chain archetypes by examining Product, Partnership, and Process complexity based on interviews of senior supply-chain executives. These interviews revealed two major influencers of resilience strategy, that is, Homogeneity of internal supply-chain processes and Integration with other actors in their end-to-end supply chains. We found that the supply chains have different resilience requirements, have different ways to achieve resilience (which we conceptualize as “bespoke supply-chain resilience”), and face different obstacles to resilience. This study aims at initiating a dialogue between supply-chain scholars and practitioners to support more research for developing an effective supply-chain resilience strategy."
Luo Y.,New connectivity in the fragmented world,Journal of International Business Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130731613&doi=10.1057%2fs41267-022-00530-w&partnerID=40&md5=4da8e18e1c9e7717b296ddb8984c893e,"We are entering a significantly fragmented world that is full of extreme disruptions and adversities. New connectivity in digital form proves the essential characteristic to help international businesses better cope with these disruptions. This connectivity signifies a dominant feature of the new era of international business and a critical catalyst to address new uncertainties in today’s fragmented world. However, this new normal raises a series of complex issues that extend the IB research agenda. This article illustrates this connectivity’s conceptual components, theoretical framework, and broad implications for IB research. We further show how MNEs leverage new connectivity to bolster competitive vitality and organizational adaptability when facing unprecedented uncertainties in a fractured and fragile world. This study also offers insights into digital ways of improving cross-border resilience. We conclude with suggested avenues for future research and potential steps."
"Ghazy S., Tang Y.H., Mugumya K.L., Wong J.Y., Chan A.",Future-proofing Klang Valley's veins with REBET: A framework for directing transportation technologies towards infrastructure resilience,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129319168&doi=10.1016%2fj.techfore.2022.121666&partnerID=40&md5=5572bdd6e5528b4d4fdae1ad56e68718,"The transportation industry is in the midst of a revolution with technologies, such as shared vehicles, drones, and autonomous vehicles, that are poised to reshape the way we move. Yet, the multitude of technologies present a difficulty in prioritizing which technologies should be invested in. While focusing on Klang Valley's transportation system, this research proposes the REsilience Brittleness and Emerging Technologies (REBET) framework, which aims to identify the transportation technologies with the highest potential of strengthening the system's resilience. We used a Dephi technique to identify the Sources of Brittleness (SBs) in the system and technologies with the highest relevance to the Malaysian setting. Using multiple linear regression, we then derived a relationship between the two aspects. The framework defines the relative resilience of the technologies according to their forecasted ability to eliminate system brittleness. The results ranked 23 technologies, with the topmost recommendations being ITS, Big Data, and Smart Buses. We highlight REBET's robustness as a global decision-making tool for infrastructure managers, researchers, and policymakers to identify ideal technologies for their transportation systems."
"Ekinci E., Mangla S.K., Kazancoglu Y., Sarma P.R.S., Sezer M.D., Ozbiltekin-Pala M.",Resilience and complexity measurement for energy efficient global supply chains in disruptive events,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127340865&doi=10.1016%2fj.techfore.2022.121634&partnerID=40&md5=b02d359440ced0431df3584fd3cff796,"The whole world is faced with the COVID-19 epidemic that causes major disruptions in global supply chains. The aim of study is to evaluate the effects of COVID-19 on energy efficient global supply chains (SCs) and to model the global supply chain resilience and energy management affected during the COVID-19 considering trade between Turkey and China, and Turkey and the EU. In this study, firstly using System Dynamics (SD) model, the behavior of countries against COVID-19 for a certain period of time is observed, subsequently the increase in complexity is analyzed with entropy measurement to determine whether the systems are resilient or not and to mark the differences arising from reporting in the first and second wave of the pandemic in the developed model. It is determined that the second wave reporting differences is less than first wave reporting differences except Turkey. From the learning effect perspective, it has been seen that the effect on the economy and foreign trade are less than first wave of pandemic even though the number of patients originating in the second wave are higher. It means that countries responded to the second wave of COVID-19 in a more resilient way. It is found that as a major finding of this study, perceived complexity of the system decreases in the second wave because of the resilience of supply chain considering learning effect and centralized decision making ensure increasing resilience and resilience measure in global supply chains. The study is highly helpful for governments, decision makers and managers to understand and manage the impacts of COVID-19 on global supply chains being resilient and energy efficient."
"Grøgaard B., Colman H.L., Stensaker I.G.","Legitimizing, leveraging, and launching: Developing dynamic capabilities in the MNE",Journal of International Business Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068064980&doi=10.1057%2fs41267-019-00245-5&partnerID=40&md5=bc611e869cb713b8b811fa7772e37438,"Multinational enterprises (MNEs) face simultaneous pressures for global integration and local responsiveness. While the extant literature acknowledges that most MNEs are neither entirely geared towards achieving global integration nor local responsiveness, scarce attention is given to how MNEs develop organizational flexibility to address multiple and shifting strategy pressures over time. In this paper, we draw on the dynamic capabilities literature to explore how the MNE develops the capabilities needed to achieve this flexibility. Through a qualitative, longitudinal case study spanning 12 years, we identify three recombination capabilities – legitimizing, leveraging, and launching capabilities – through which the MNE develops organizational flexibility. We find that these recombination capabilities improve the MNEs ability to sense and seize new opportunities and enable the MNE to overcome organizational impediments to achieve flexibility. Our study offers a process perspective that shows how the three capabilities together nourish the MNEs resilience to continuously balance between global integration and local responsiveness. Our findings have managerial implications, illustrating that launching new strategic initiatives may fail if the MNE does not have the capabilities to legitimize the new initiatives and to ensure that existing organizational strengths are properly leveraged to support the new initiatives."
"Ahmed A.E., Ucbasaran D., Cacciotti G., Williams T.A.","Integrating Psychological Resilience, Stress, and Coping in Entrepreneurship: A Critical Review and Research Agenda",Entrepreneurship: Theory and Practice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124567461&doi=10.1177%2f10422587211046542&partnerID=40&md5=54d17815b4a2af3311b7cc73a0c8cf6b,"Despite the increasing interest in studying the concept of resilience in entrepreneurship, existing research often fails to account for stressors that induce entrepreneurs’ need for resilience and coping efforts. By arguing the need to study stress, resilience, and coping together to understand how entrepreneurs build resilience in the face of adversities, we systematically review the entrepreneurship scholarship (125 articles) on these three concepts. By critically appraising these three literatures in light of current thinking in psychology, we then develop a model of the process of building psychological resilience in entrepreneurship and offer a clear pathway for future research."
"Rodríguez-Espíndola O., Chowdhury S., Dey P.K., Albores P., Emrouznejad A.",Analysis of the adoption of emergent technologies for risk management in the era of digital manufacturing,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124489471&doi=10.1016%2fj.techfore.2022.121562&partnerID=40&md5=f5655f68d680ba481a26cf5e11c089f6,"The Industry 4.0 (I4.0) revolution has led to rapid digital transformation, automation of manufacturing processes and efficient decision-making in business operations. Despite the potential benefits of I4.0 technologies in operations management reported in the extant literature, there has been a paucity of empirical research examining the intention to adopt I4.0 technologies for managing risks. Risk management identifies, assesses, and introduces responses for risks to avert crises. This study combines institutional theory, the resource-based view and the technology acceptance model to develop a novel behavioural model examining the adoption of big data, artificial intelligence, cloud computing, and blockchain for risk management from the operations manager's perspective, which has never been examined in the literature. The model was tested for each I4.0 technology using data collected from 117 operations managers in the UK manufacturing industry which were analysed using structural equation modelling. We contribute to the theory on I4.0 in digital manufacturing by showing the impact of digital transformation maturity, market pressure, regulations, and resilience on the perceived usefulness and adoption of these technologies for managing risks in business operations. Based on the findings, we discuss implications for operations managers effectively and efficiently to adopt I4.0 technologies aiming to boost operational productivity."
"Xie X., Wu Y., Palacios-Marqués D., Ribeiro-Navarrete S.",Business networks and organizational resilience capacity in the digital age during COVID-19: A perspective utilizing organizational information processing theory,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123766860&doi=10.1016%2fj.techfore.2022.121548&partnerID=40&md5=4074541b936776923e26d45e1d64c35a,"Based on organizational information processing theory (OIPT), this study examines how and when business networks exert a positive influence on firms’ organizational resilience capacity. Using data collected from 409 Chinese manufacturing firms during the COVID-19 pandemic, and by disaggregating business networks into two dimensions—network breadth and network depth—our findings show, firstly, that both network breadth and network depth are positively correlated to the organizational resilience capacity of firms; secondly, that these relationships are mediated by firms’ ambidextrous learning; and thirdly, that the positive effects of network breadth and network depth on organizational resilience capacity are stronger when the firms’ digital technology levels are higher. Furthermore, through additional analysis, we find that the positive impact of business networks on organizational resilience capacity is stronger for non-state-owned enterprises (non-SOEs) than it is for SOEs, and also that the moderating effect of digital technology on the relationship between business networks and organizational resilience capacity is greater for non-SOEs than it is for SOEs. These findings provide new insight into how a firm's business network, in combination with its ambidextrous learning and level of digital technology, affects its organizational resilience capacity development, which helps it survive a crisis for future sustainable development."
"Balland P.-A., Broekel T., Diodato D., Giuliani E., Hausmann R., O'Clery N., Rigby D.",The new paradigm of economic complexity,Research Policy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121468830&doi=10.1016%2fj.respol.2021.104450&partnerID=40&md5=433530d453fc40e0d49981b518d1b2c1,"Economic complexity offers a potentially powerful paradigm to understand key societal issues and challenges of our time. The underlying idea is that growth, development, technological change, income inequality, spatial disparities, and resilience are the visible outcomes of hidden systemic interactions. The study of economic complexity seeks to understand the structure of these interactions and how they shape various socioeconomic processes. This emerging field relies heavily on big data and machine learning techniques. This brief introduction to economic complexity has three aims. The first is to summarize key theoretical foundations and principles of economic complexity. The second is to briefly review the tools and metrics developed in the economic complexity literature that exploit information encoded in the structure of the economy to find new empirical patterns. The final aim is to highlight the insights from economic complexity to improve prediction and political decision-making. Institutions including the World Bank, the European Commission, the World Economic Forum, the OECD, and a range of national and regional organizations have begun to embrace the principles of economic complexity and its analytical framework. We discuss policy implications of this field, in particular the usefulness of building recommendation systems for major public investment decisions in a complex world."
"Al-Mutairi A., AlKheder S., Alzwayid S., Talib D., Heji M.B., Lambert J.H.",Scenario-based preferences modeling to investigate port initiatives resilience,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122830375&doi=10.1016%2fj.techfore.2022.121498&partnerID=40&md5=4a2d6fa1075a362c358cdf49e21a7966,"Port systems are sensitive and complicated, yet they are subject to various forms of disruptiveness. Therefore, during the port life cycle, the port can be exposed to unexpected crises that include economic meltdowns, inappropriate designs, and the unavailability of resources. Scenario-based preference modeling was designed to define the nature of the system resilience in Mubarak Al-Kabeer Port (MKP), Kuwait. The model described the influence of different scenarios on the port initiatives among a set of criteria. The initiatives in each scenario were ranked based on their level of importance. Results showed that the most disruptive scenario was s3 (economic crisis), while s5 (compelling circumstance) was the least disruptive scenario. The results also revealed that the most robust and highly prioritized initiatives were x1 (soil treatment for the main road construction and MKP harbor) and x25 (maintenance of the connecting channel —the channel links MKP to Khor Abdullah)."
"Yu W., Li Z.A., Foo M.-D., Sun S.",Perceived social undermining keeps entrepreneurs up at night and disengaged the next day: The mediating role of sleep quality and the buffering role of trait resilience,Journal of Business Venturing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122242028&doi=10.1016%2fj.jbusvent.2021.106186&partnerID=40&md5=4f596657dd73b5a6240dd5773cf72bcd,"Entrepreneurs work in an uncertain, novel, and high-stakes environment. This environment can lead to disagreements and conflicts over how to develop, grow, and run a business venture, thus triggering destructive social interactions. This research sheds light on the role of destructive interpersonal relationships by examining daily perceived social undermining from work partners and how and when this perceived undermining affects entrepreneurs' work engagement. Building on a resource-based self-regulation perspective, we develop a theoretical model of the self-regulation impairment process whereby an entrepreneur's perceived social undermining disrupts sleep quality at night, which dampens work engagement the next day. We further theorize trait resilience as a self-regulation capacity that buffers this impairment process. We test the model in a study based on daily surveys over 10 workdays from 77 entrepreneurs. The results largely support our hypotheses and further indicate that trait resilience is more crucial for less experienced entrepreneurs. Our study contributes to research on how entrepreneurs' interpersonal relationships—particularly destructive ones—affect entrepreneurial well-being."
"Augustin P., Sokolovski V., Subrahmanyam M.G., Tomio D.",In sickness and in debt: The COVID-19 impact on sovereign credit risk,Journal of Financial Economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108536882&doi=10.1016%2fj.jfineco.2021.05.009&partnerID=40&md5=01fb826901a0eb35fb1d429050262742,"The COVID-19 pandemic provides a unique setting in which to evaluate the importance of a country's fiscal capacity in explaining the relation between economic growth shocks and sovereign default risk. For a sample of 30 developed countries, we find a positive and significant sensitivity of sovereign default risk to the intensity of the virus's spread for fiscally constrained governments. Supporting the fiscal channel, we confirm the results for Eurozone countries and U.S. states, for which monetary policy can be held constant. Our analysis suggests that financial markets penalize sovereigns with low fiscal space, impairing their resilience to external shocks."
