Source title,Abstract,Authors,Title,Link
Green Energy and Technology,"Affected by the COVID-19 epidemic, logistics has received much attention by practitioners and researchers. The paper develops an integrated model for green transportation performance evaluation using the Balanced Scorecard. We propose a set of indicators to evaluate green transportation. These indicators are selected based on Fuzzy-Delphi method following different quantitative judgments of experts. The various criteria are related to the green transportation imperatives especially sustainability, stakeholder engagement and integration, continuous process improvement and green innovation. The proposed Balanced Scorecard is based on progressive methodological steps integrating the precision of the performance levers, the balancing of the components of this performance, the selection of the sustainability factors and the possibility of continuous improvement and adaptation of the selected factors.",Bentalha B.,Green Transportation Balanced Scorecard Model: A Fuzzy-Delphi Approach During COVID-19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128923039&doi=10.1007%2f978-3-030-96429-0_5&partnerID=40&md5=bba0d8d4e919ab64dfda992b533ea371
Sustainability (Switzerland),"After the COVID-19 pandemic and the spectrum of new climate change disruptions in the supply chain, a holistic approach towards sustainable transportation is needed. Sustainable transportation could benefit sustainable development from different angles; reduced traffic deaths, increased share of renewable energy, higher quality of transport-related infrastructure, increased satisfaction with public transportation, increased responsible consumption and production, and reduced fossil fuel consumption. This study is an attempt to show whereon the scholars were focused previously and where the focus needs to be more on. This study has reviewed 358 case studies and categorized them into twenty groups based on the transportation mode and eleven groups based on the authors’ primary areas of concern. Keyword analysis followed by topics modeling showed three non-overlapping trends in the cohort. The results, with a corroboratory investigation on the benefits of the United States’ infrastructure bill, were discussed in four categories: in-vehicle improvements, built-environment elements, human factors, and planning and regulations.","Shokoohyar S., Gorizi A.J., Ghomi V., Liang W., Kim H.J.",Sustainable Transportation in Practice: A Systematic Quantitative Review of Case Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125777390&doi=10.3390%2fsu14052617&partnerID=40&md5=145f7ab53c236edebe5871a6b19fd3cb
Annals of Operations Research,"After the outbreak of COVID-19 pandemic, devising an effective reverse logistics supply chain to clean up disaster medical waste is conducive to controlling and containing novel coronavirus transmission. Thus, the focus of this paper concentrates on multi-period multi-type disaster medical waste location-transportation integrated optimization problem with the concern of sustainability, which is formulated as a tri-objective mixed-integer programming model with the goals of maximizing total economic benefits, minimizing total carbon emissions and total potential social risks. Then, a real-world case from Wuhan using CPLEX solver is used to validate the developed model. Results indicate that constructing DMWTTSs with flexible capacity in different periods is encouraged to handle the sharply increasing disaster medical waste. The multi-period decision model outperforms the single-period one in disaster medical waste supply chains because the former has the capability of handling the uncertainties in the future periods. Increasingly, since the increase of budget doesn’t always work well and social resources are limited, the estimation of minimum budget to obtain optimum overall performance is of great importance.","Cao C., Li J., Liu J., Liu J., Qiu H., Zhen J.",Sustainable development-oriented location-transportation integrated optimization problem regarding multi-period multi-type disaster medical waste during COVID-19 pandemic,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136582099&doi=10.1007%2fs10479-022-04820-2&partnerID=40&md5=38a184afe824f793971ce99e83ddd31c
Information Systems Frontiers,"Agile supply chains facilitate sustainability through higher effectiveness and lower wastage. Agile supply chain frameworks in extant literature are designed for static supply chains and high-granular data that are only available at fixed periods. With the increasing interest in the Internet of Things (IoT) and blockchain technology for supply chain visibility and trust and the potential availability of fine-granular real-time data from related sensor networks, there is a need to reconsider existing agile supply chain frameworks. IoT and blockchain technology together reinforce the provision of trusted visibility that facilitates ease of tracking and tracing that is required in agile supply chains. We study existing agile supply chain frameworks and their characteristics – both positive and negative – and use this information to develop an agile supply chain framework that incorporates recent developments in IoT and blockchain technology.","Zhu X.N., Peko G., Sundaram D., Piramuthu S.",Blockchain-Based Agile Supply Chain Framework with IoT,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101774687&doi=10.1007%2fs10796-021-10114-y&partnerID=40&md5=a76825dd6b464e2ed26645809fd88315
Sustainability (Switzerland),"Agricultural development in Indonesia had been conducted in a top-down manner since its independence, which has limited its effectiveness due to the gap between the reality faced by the development actors and actors who are involved in the agricultural supply chain. This paper provides evidence of a more participative model design by involving most of the actors in its process. The study was performed in action research by using a co-creation approach, involving actors who contributed their thoughts in designing the most suitable model that can support them in reaching a more sustainable supply chain for coffee agribusiness in Bandung Regency, West Java, Indonesia. The results show that a co-creation approach has managed to improve the performance of the coffee supply chain by the formation of a cooperative, which enhanced coordination among stakeholders. Furthermore, the involvement of farmers provided significant contributions in the design of the model.","Umaran T., Perdana T., Kurniadie D., Parikesit P.","Co-Creation Approach in Designing a Sustainable Coffee Supply Chain (a Case in Bandung Regency, West Java, Indonesia)",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122130265&doi=10.3390%2fsu14010476&partnerID=40&md5=b92f2d57644e50761dce7438cdd65f90
International Journal of Intelligent Systems and Applications in Engineering,"Agricultural sector come across assortment of vulnerabilities in the domain of supply chain tractability such as adulteration of grains, unfair pricing and stocking of the grains which even leads to inflation. Current manual or semi-automated supply chain management solutions are built over the top of the centralized database management systems which may be subjected to vulnerability, lack of data integrity and single point of failure. Introducing Blockchain in the field of supply chain management will avoid tampering with data and single point of failure. Blockchain promotes trust in lack of trust environment. Grainchain is a rice tracking system. This system enables the tracking of the grains right from farmer to retailer. Grainchain promotes trust between the end consumer and the product they buy. Grainchain is a completely decentralized and permissioned Blockchain based application which enables the participant to perform transactions with each other. It also facilitates the end consumer to track the commodity right from the farm to their plates. Grainchain is built using Hyperledger fabric. Hyperledger fabric is permissioned Blockchain software which is suitable for all supply chain applications.","Vijay P., Sorna Shanthi D., Revathy P., Ohja S., Sriram N., Nandhiannal",Grainchain –Agricultural Supply Chain Traceability and Management technique for Farmers Sustainability Using Blockchain Hyper Ledger,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139191845&partnerID=40&md5=76150b593a151a87c367f89db166f50e
Discrete Dynamics in Nature and Society,"Agricultural supply chain finance effectively alleviates the problem of farmers' credit constraints and realizes the commercialization and sustainability of agriculture. However, the rapid spread of farmers' credit default behavior will seriously affect the stability of the agricultural supply chain and the wide application of agricultural supply chain finance. To prevent the rapid spread of farmers' credit default behavior, the diffusion mechanism of farmers' default behavior is studied with network evolutionary game. The results indicate the following: (a) When some farmers choose the default strategy because their default income is greater than their performance income, the default behavior in the small-world network will not spread to the whole network. However, in the scale-free network, when the default rate of return exceeds a certain threshold, it will lead to the spread of default behavior throughout the network. (b) In the small-world network, the spread of default will be inhibited to some extent with the increase of extra returns. However, the effect of raising extra returns on the spread of default behavior is not obvious in the scale-free network.","Li X., Sun Y.",Network Evolutionary Game-Based Diffusion Mechanism regarding the Nonperformance of Farmers in Agricultural Supply Chain Finance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126633499&doi=10.1155%2f2022%2f8550974&partnerID=40&md5=92facdb86b0471217f61cf9992274cdd
Agroecology and Sustainable Food Systems,"Agricultural techniques and orchard management play an important role in food production sustainability and there is an increasing number of research papers that focus on food cradle-to-gate life cycle assessment. In addition, there is also an emerging body of research on short food supply chains and on whether or not proximity can be a proxy for sustainability in the agri-food system. The objective of this analysis is to consider the most relevant social and environmental impacts of the Environmental Footprint and Social Life Cycle Assessment in the citrus fruit sector and identify crucial hotspots. We will explore the relevance of the length of citrus fruit supply chains on maps of social and environmental impacts in order to reach more wiser sustainability-based decisions. The results obtained show mixed conclusions regarding the relevance and implications of choosing short food supply chains to achieve more sustainable food systems.","Muñoz Torres M.J., Fernández-Izquierdo M.Á., Ferrero-Ferrero I., Escrig-Olmedo E., Rivera-Lirio J.M.","Transitioning the agri-food system. Does closeness mean sustainability? how production and shipping strategies impact socially and environmentally. Comparing Spain, South Africa and U.S. citrus fruit productions",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125264977&doi=10.1080%2f21683565.2022.2039835&partnerID=40&md5=00c10f0783f45e0c6ddb3285c7825755
International Journal of Intelligent Networks,"Agriculture 4.0 represents the fourth agriculture revolution that uses digital technologies and moves toward a smarter, more efficient, environmentally responsible agriculture sector. Agricultural technologies have emerged to enhance sustainability and discover more effective farm methods. This encompasses all digitalisation and automation processes in business and our daily lives, including Big Data, Artificial Intelligence (AI), robots, the Internet of Things (IoT), and virtual and augmented reality. These technological advancements are having a profound impact on our lives. From a technical standpoint, it brings us to precision agriculture. This provides a data-driven strategy for efficiently growing and maintaining crops on cultivable land, enabling farmers to use most of the resources at their disposal. Throughout the supply chain, daily operations create massive volumes of data. Most of this information was previously untouched, but with the help of big data technologies, such information can be used to improve the performance and production of any crop. Depending on the crop type and its growth needs, digitised harvesters can help handle huge areas in various situations, particularly agriculture. This paper is brief about Agriculture 4.0 and its condition. Smart farming, Various key technologies and specific domains for the Exploring Agriculture 4.0 Domain are discussed in detail and, finally, identified and discussed significant applications of Agriculture 4.0 technologies. These technologies are essential to our lives since they simplify our daily duties without recognising them. In Agriculture 4.0 systems, fleets of digitised equipment employ current infrastructures like cloud computing to connect, identify the processing condition of different regions and the requirement for input materials and coordinate the machinery.","Javaid M., Haleem A., Singh R.P., Suman R.",Enhancing smart farming through the applications of Agriculture 4.0 technologies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139349533&doi=10.1016%2fj.ijin.2022.09.004&partnerID=40&md5=3bea895526fe89dc12112e3365b9d13b
IEEE Transactions on Engineering Management,"Agriculture and allied activities hold a key to sustaining all human activities and ensuring a food-secured future. However, significant issues such as the ever-growing population and cut-throat competition for resources pose a continuous threat to the agricultural supply chains, thereby compromising sustainable agricultural development. To overcome the ever-escalating complex challenges in agricultural supply chains and production systems, advancements in precision agriculture, smart farming, and effective supply chain collaboration are critical for addressing agricultural sustainability challenges. This research study examines the direct effects of industry 4.0 technology capabilities (I4TC) and supply chain integration (SCI) on sustainable agricultural supply chain performance (SASCP). The study investigates the direct and indirect impact of I4TC on SASCP with SCI as the mediating variable; moreover, it seeks to validate the direct influence of I4TC on SCI and SASCP. Based on the data collected from 262 food processing organizations in India, the findings highlight noteworthy impacts of I4TC on SASCP and verify the presence of SCI as a partially mediating variable. Furthermore, the findings extend the body of knowledge on I4TC by recognizing I4TC as an enabler of SCI, thereby leading to enhanced SASCP. From the practitioner&#x0027;s perspective, the current study can help food-processing organizations better understand the importance of SCI in ASCs and provide valuable insights for managing ASCs to achieve SASCP. IEEE","Sharma R., Kamble S., Mani V., Belhadi A.",An Empirical Investigation of the Influence of Industry 4.0 Technology Capabilities on Agriculture Supply Chain Integration and Sustainable Performance,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137543075&doi=10.1109%2fTEM.2022.3192537&partnerID=40&md5=a404d5dc365c5874e64b3d8b8874a2ee
Lecture Notes in Civil Engineering,"AGRIDIGIT is a wide spectra project dealing with digital agriculture. It wanders from forestry, to agrometeorology, crop and livestock production for a full range sustainability of the sector. The sub-project PLF4MILK focuses on precision farming of dairy cattle and buffalo, branching out into 5 Working Packages (WPs). This paper refers to buffalo (WP4). The aim of WP4 was to increase efficiency of buffalo farms through the precision farming approach. Specific objectives are the development of breeding and feeding protocols to ensure a higher welfare in buffalo, according in particular to thermal stress and individual enteric methane (CH4) emissions measurements. Analysis of behavior, welfare and milk production according to the season, monitored by individual sensors and punctual weather station, was performed from July 2020 to January 2021. Ear tags measuring activity, resting, eating, rumination and ear temperature coupled with a milk meters electronic system were used. The study of enteric CH4 emission trough individual measurements is based on remote controllable laser detectors. Data are then integrated each other. Multivariate approach and local and/or non-parametric regressions allow to highlight patterns of (co)variance among data from different sensors. Data will be used to set up algorithms and models suitable for buffalo. A software interface for decision supporting, will be released. The project addresses the needs for a higher efficiency in buffalo milk supply chain along with the improvement of animal welfare and environmental sustainability.","Meo Zilio D., Steri R., Iacurto M., Catillo G., Barile V., Chiariotti A., Cenci F., La Mantia M.C., Buttazzoni L.",Precision Livestock Farming for Mediterranean Water Buffalo: Some Applications and Opportunities from the Agridigit Project,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127700097&doi=10.1007%2f978-3-030-98092-4_5&partnerID=40&md5=a9a66d4e271b0468bf376fd8442e3e77
Central European Journal of Operations Research,"Agri-food production must increase while food waste needs to be reduced for improving the position of farmers. To do so it is necessary to sustainably manage agri-food supply chains beginning with the crop planning decisions. Although the centralized approach has usually been adopted for this purpose, it can lead to unfair solutions due to inequitable distribution of profits among farmers causing their unwillingness to collaborate in the implementation of decisions made. To solve this, in this paper a novel centralized multi-objective mathematical programming model is proposed to support the sustainable crop planning definition for a region that jointly optimize three objectives aligned to the sustainability aspects: supply chain profits maximization (economic objective), waste minimization (environmental objective) and unfairness among farmers minimization (social objective), being the last two objectives novel in the crop planning literature. It has also shown the conflicting nature of the three objectives finding trade-offs among them. Other novelties of this proposal are: (1) anticipation of operative decisions (such as harvest, transport, sale, clearance sale, waste and unmet demand) when defining the crop planning, (2) possibility of clearing the oversupply of crops as a means of increasing the farmers’ profits and reducing waste, and (3) the modelling of a agri-food supply chain characterized by the lack of intermediaries between farmers and retailers, fostering the freshest product delivery and farmers’ power position. The model is solved by applying the weighted sum method concluding that the crop waste generated along the chain and the unfairness among farmers can be considerably reduced by little decreasing the optimal SC profits.","Esteso A., Alemany M.M.E., Ortiz A., Liu S.",Optimization model to support sustainable crop planning for reducing unfairness among farmers,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106430968&doi=10.1007%2fs10100-021-00751-8&partnerID=40&md5=ae5c6db455cd3098a61e97b4b161f42b
IEEE Transactions on Engineering Management,"Agri-food supply chains (AFSCs) are critical in our society. Proper management of AFSCs is crucial for improving social welfare. Over the past years, digitization in AFSCs has emerged as a new paradigm. In this context, the Internet of Things (IoT) is a growing approach, providing a huge amount of information to manage AFSCs. Thus, the purpose of this article is to examine extensive studies on IoT-based AFSC. Our research starts with the identification of 346 articles in the relevant field from the Web of Science (WoS) database by applying rigorous filtration. Using the VOS viewer software, a network analysis has been performed. With seven identified clusters, this article recognizes the role of IoT technologies as Cluster 1: agri-food safety, traceability and sustainability; Cluster 2: AFSC sustainability; Cluster 3: AFSC performance measurement; Cluster 4: AFSC resilience in disruption; Cluster 5: AFSC integration and traceability; Cluster 6: AFSC transparency and coordination, and finally Cluster 7 identifies the barriers in IoT adoption. Thus, findings of this study offer robust guidance to link IoT technologies and AFSCs together. Based on these findings, propositions are proposed and a research framework is established. We believe the findings would help engineering managers, researchers, and government regulating bodies better plan and manage AFSCs for social good. IEEE","Yadav S., Choi T., Luthra S., Kumar A., Garg D.",Using Internet of Things (IoT) in Agri-Food Supply Chains: A Research Framework for Social Good With Network Clustering Analysis,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135749441&doi=10.1109%2fTEM.2022.3177188&partnerID=40&md5=63c16d6f7dbe1a7bf1aee931fb3ede7a
Environmental Science and Pollution Research,"Agri-food supply chains (AFSCs) are one of the significant building blocks of agricultural production, and their sustainability aims are advanced by big data analytics (BDA) and the circular economy (CE). As access to safe, healthy, and high-quality food has become increasingly difficult, AFSCs need to leverage their capabilities for CE-based BDA to overcome sustainability challenges. However, a significant gap exists in the relevant literature on how to identify such capabilities to achieve sustainability goals. To build CE-based BDA capabilities, organisations need to orchestrate their resources and competencies and align them well with specific sustainability targets. In consideration of these issues, this study was conducted to identify the aforementioned capabilities and their effects on the performance of circular AFSCs from the perspective of a developing country. To this end, a three-stage multi-criteria decision-making model was developed and used in the examination of circular AFSCs in Turkey. The findings revealed that supply chain management (SCM) was the most important capability, followed by organizational, technical, environmental, economic, and social capabilities. Furthermore, big data infrastructure was the most important sub-capability ahead of financial benefits, top management support, sustainability and resilience, and food waste reduction. Finally, productivity improvement was determined as the most significant impact of CE-based BDA capabilities on circular AFSCs. This study can serve as a reference for managers and policy-makers on what BDA capabilities should be developed for circular AFSCs. It also contributes to addressing the agricultural production issues encountered by developing countries.",Perçin S.,Evaluating the circular economy–based big data analytics capabilities of circular agri-food supply chains: the context of Turkey,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132990368&doi=10.1007%2fs11356-022-21680-2&partnerID=40&md5=072a297ed2d309e07aa5c1d6973708ce
International Journal of Sustainable Construction Engineering and Technology,"Aim of study is to develop a sustainable model for residential building sector in Palestine by tracking the sector from cradle to end of construction process. In the sustainability model, all input resources to the model will be specified and connect to the outputs of the building process involving all dynamic contributors; labor, water, and energy. Based on the sustainability supply chain a model is implemented for a 100 m2 residential building. For the implemented case study all, necessary costs have been included showing the total cost of this building. The Value Creation Index of the investigated case has been estimated showing the ratio between the revenues gained by the local contracting companies and cost incurred in the building. The large consumed resources indicate the importance and need for creating a sustainability model for the sector.","Hanieh A.A., Karaeen M., Hasan A.A.",Sustainability Model from Cradle-to-Gate: Residential Buildings in Palestine,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139963955&doi=10.30880%2fijscet.2022.13.03.001&partnerID=40&md5=dbdfa83bf8e228d715618732ab898da9
Cogent Social Sciences,"Aim: The purpose of the study was to identify and investigate the determinants of “responsible tourism behavior” with a view to suggest policy implications contextualizing Pakistan. Research Methods: The quantitative research was structured to determine the prevailing levels of tourism behavior and its corresponding determinants as observed along the continuum between irresponsible and responsible tourism. Data was collected from 700 positively retrieved questionnaires out of the 800 self-administered questionnaire amongst respondents from the tourism stakeholders. The reliability and validity were checked through Cronbach-Alpha and the CFA model followed by correlation analyses verifying the set of hypotheses. Findings: The study determined that quality of responsible behavior is dependent upon: quality of institutional policies, purpose built environmental friendly infrastructure, tourism carrying capacity, community involvement, interconnected network of diverse tourism support services, destination-specific promotion and growth strategies, development of human capital, and satisfaction of tourists across tourism supply chain. The study found negative footprints of tourism behavior along the destinations located close to the urban centers, whereas, remote destinations were found positively sustaining their environmental capitals. Implications: The study implications suggested measures to prevent negative footprints of tourism influx, regenerate the natural capital and spread socio-economic benefits across communities and destinations.","Baloch Q.B., Shah S.N., Maher S., Irshad M., Khan A.U., Kiran S., Shah S.S.",Determinants of evolving responsible tourism behavior: Evidences from supply chain,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136057098&doi=10.1080%2f23311886.2022.2099565&partnerID=40&md5=e0d787e5a25d31669429abc7ff367b1a
South African Journal of Economic and Management Sciences,"Aim: There is an existing gap in the literature that addresses the importance of risk management as a tool for sustainability in the winemaker’s activities and operations. The purpose of this article is to propose a risk management framework for the South African wine industry that can be used as a tool for sustainability. Setting: The study comprised 10 participants at five wine-producing estates located in the five different wine-growing areas within the Stellenbosch region. Method: The study is exploratory in nature, adopting a case study approach. Interviews with wine producers in the Stellenbosch region of the Western Cape province of South Africa were conducted in order to identify the various risks they face. Result: A thematic analysis was used to analyse the data. The four steps of risk management were used as a reference point and to underpin the proposed risk management framework. The study was done using the Supply Chain Operations Reference model, which is divided into six process categories, namely plan, source, make, deliver, return and enable. Conclusion: The article makes a twofold contribution. Firstly, wine producers might use the proposed framework to identify and mitigate their risks and thus as a tool for sustainability. Secondly, the proposed framework is expected to contribute to the existing body of knowledge on risk management and sustainability.","Naude M.J., Naude R.T.",A proposed risk framework as a tool for sustainability for the South African wine industry,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125877164&doi=10.4102%2fsajems.v25i1.4235&partnerID=40&md5=252bdbe1e954289556c926630ddcc2e8
International Food and Agribusiness Management Review,"Alternative food networks (AFNs) have the potential to enhance and redistribute value in favour of producers and consumers through novel ways of organizing supply chain activities. What is more, AFNs are often characterized by their ‘sustainability promise’ – or the idea that their networks foster social, ecological or environmental improvements over conventional food networks. Based on a purposive sample of 286 producers across five Swedish AFNs (i.e. community supported agriculture, REKO-rings, farmers’ markets, farm stores and food nodes), we explore how differences in how supply chain activities are managed and relate them to profitability, fair wages, cooperation, logistics efforts, happiness and future beliefs. Using a combination of correlation analysis, linear regression and means comparisons, we challenge the notion that AFNs achieve their sustainability promise or enhance value through novel combinations of supply chain activities. Our findings include several key differences in how supply chain management (SCM) activities are organized across AFNs and their variant importance for profitability. Moreover, we find significant differences in happiness across AFNs that are better explained through beliefs about the future than profitability or fair wages. By exploring happiness and profitability, we offer insights into why some AFN actors thrive despite poor economic returns.","Hunter E., Norrman A., Bergc E.",Quantifying differences in alternative food network supply chain activities and their relationship with socio-economic outcomes,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121451553&doi=10.22434%2fIFAMR2020.0193&partnerID=40&md5=d76e86a838eb62ef44399cdf9f064daa
One Earth,"Although natural gas generates lower CO2 emissions, gas extraction, processing, and distribution all release methane, which has a greater global warming potential than CO2. Biomethane and biogas that use organic wastes as a feedstock have emerged as alternatives to natural gas, with lower carbon and methane emissions. However, the extent to which methane is still emitted at various stages along biogas and biomethane supply chains remains unclear. Here, we adopt a Monte Carlo approach to systematically synthesize the distribution of methane emissions at each key biomethane and biogas supply chain stage using data collected from the existing literature. We show that the top 5% of emitters are responsible for 62% of emissions. Methane emissions could be more than two times of greater than previously estimated, with the digestate handling stage responsible for the majority of methane released. To ensure the climate benefits of biomethane and biogas production, effective methane-mitigation strategies must be designed and deployed at each supply chain stage.","Bakkaloglu S., Cooper J., Hawkes A.",Methane emissions along biomethane and biogas supply chains are underestimated,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133263070&doi=10.1016%2fj.oneear.2022.05.012&partnerID=40&md5=89308366f394251dd9a1258d485fbb89
"Resources, Conservation and Recycling","Although the circular economy is a key strategy to mitigate climate change, the relationship between them has rarely been investigated. This study aims to fill this gap by applying a life cycle assessment to evaluate the benefits of circularity interventions in the tanning industry. We compared the baseline scenario with no circular actions a circular scenario with salt recovery and tannin baths reuse. We then calculated the environmental benefits with regard to vegetable-tanned leather. Although our results proved the positive effects of the circularity activities adopted in the production phase, the environmental impacts related to the upstream supply chain of the leather accounted for 85% of the total negative impact. In fact, the environmental benefits obtained were completely nullified by the impact of cattle raising and slaughtering, which even led to a slight deterioration in the circular scenario. Our study highlighted the need to better align interventions designed to promote circularity and mitigate climate change by expanding the range of actions to the company's suppliers. We revealed that a green supply chain management is key to achieving circularity and a zero-carbon future. Lastly, we also highlighted the importance of adopting life cycle assessments to evaluate the effects of circular business models, but especially to identify the main environmental hotspots. By using an LCA, organisations will be able to avoid circular washing, i.e., circular practices that provide only limited benefits in relation to the overall environmental footprint.","Marrucci L., Corcelli F., Daddi T., Iraldo F.",Using a life cycle assessment to identify the risk of “circular washing” in the leather industry,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132853509&doi=10.1016%2fj.resconrec.2022.106466&partnerID=40&md5=2af602ef32f5dbdbad22ffb6aacacc90
Foods,"Although the different alternative food networks (AFNs) have experienced increases worldwide for the last thirty years, they are still unable to provide an alternative capable of spreading on a large scale. They in fact remain niche experiments due to some limitations on their structure and governance. Thus, this study proposes and applies a design method to build a new sustainable food supply chain model capable of realizing a “jumping scale”. Based on the theoretical and value framework of the Civil Economy (CE), the Economy for the Common Good (ECG), and the Development on a Human Scale (H-SD), the proposed design model aims to satisfy the needs of all stakeholders in the supply chain. Max-Neef’s Needs Matrix and Design Thinking (DT) tools were used to develop the design model. Applying the design method to the food chain has allowed us to develop the concept of the “Food Village”, an innovative food supply network far from the current economic mechanisms and based on the community and eco-sustainability.","Stella G., Torquati B., Paffarini C., Giordani G., Cecchini L., Poletti R.",“Food Village”: An Innovative Alternative Food Network Based on Human Scale Development Economic Model,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130754036&doi=10.3390%2ffoods11101447&partnerID=40&md5=826f0376b5bebfc3a9f01799f3614dec
Forest Policy and Economics,"Although the importance of non-timber forest products (NTFPs) is increasingly recognised across the globe, their potential is not yet fully realised. Their often valuable nutritional composition and discovery of new possible applications offer further opportunities for innovation and rural development. Yet only few NTFPs manage the jump from traditional, informal use to global markets. Therefore, this paper assesses how baobab (Adansonia digitata L) fruit products overcame the challenges faced by most NTFPs in gaining access to such markets, discussing factors contributing to its emergence and how sustainability aspects were addressed. Complex interactions of a variety of actors and institutions in the global South and the global North, encompassing both the production as well as the consumption side, were necessary for these developments. Triggered by the rising demand for natural, healthy foods and growing knowledge and appreciation for indigenous products, increasing numbers of entrepreneurs and development organisations entered the scene. Poor climates for innovation and enterprise development in the producer countries were overcome by developing the sector bottom-up using external support inducing a variety of innovations including supply chain modifications in order to comply with the high quality standards demanded. With baobab previously unknown to Western consumers new markets were formed due to the combined efforts by a variety of both private and public stakeholders and demand for baobab fruit powder rose to several hundred tons per year after the acceptance as novel food in European and US markets. Numerous products are now available predominantly in niche, early adopter markets focusing on healthy or organic foods. However, further support of the sector is necessary to ensure sustainable commercialisation of baobab resources. With the developmental impact being higher the more ethically, sustainably sourced baobab is sold, activities focusing on increasing demand and raising awareness on the consumer side may well have a higher impact than direct efforts aimed towards the production systems.","Meinhold K., Dumenu W.K., Darr D.",Connecting rural non-timber forest product collectors to global markets: The case of baobab (Adansonia digitata L.),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118897916&doi=10.1016%2fj.forpol.2021.102628&partnerID=40&md5=0c4ebe863db61daa8bafe2eb5fb259ab
Journal of Civil Engineering and Management,"Although the importance of supply chain management in the construction sector has been recognized in recent years, its implementation still faces significant challenges. For the long-term evaluation of this creative sector, numerous intricate sustainability components, such as environmental, social, and financial, are necessary. The study focuses on long-term sustainability considerations in the supply chain in the construction sector. This work aims to address this information and examine sustainable supply chain management (SSCM) research in the construction sector in this manner. More than 95 publications were studied from the beginning of 2017 to the end of 2021 using both in-depth content analysis and bibliometric methodologies. Several issues of SSCM in construction have been found including environmental, economic and social patterns which are most commonly known as the triple bottom line, typically enhanced by artificial intelligence. Many challenges were discovered including inefficiencies in the logistics system and a shortage of funding, environmental issues in demolition procedures and difficulties in applying sustainability measures due to high skill, data, and time requirements. The article offers a broad list of potentials for improving the current situation in the construction sector by using various types of supply chains such as increasing investment in energy conservation and emission reduction technologies to drive sustainable development, establishing strong green supply chain relationships, and forming a Covid-19 financial support group for small construction companies among other things. The study’s findings suggested that due to the significance of long-term relationships between construction companies, suppliers and customers, smart technology could make it simpler to reach every supply chain link. After an exhaustive literature review 59 research questions were formulated for the future research. In the future, the importance of these questions could be determined using expert questionnaires and multi-criteria evaluation.","Cataldo I., Banaitis A., Samadhiya A., Banaitienė N., Kumar A., Luthra S.",SUSTAINABLE SUPPLY CHAIN MANAGEMENT IN CONSTRUCTION: AN EXPLORATORY REVIEW FOR FUTURE RESEARCH,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136333707&doi=10.3846%2fjcem.2022.17202&partnerID=40&md5=5de6dc566de471985f4d0ad93f049977
Journal of Business Economics,"Ameliorating and deteriorating products, or, more generally, items that change value over time, present a high sensitiveness to the surrounding environment (e.g., temperature, humidity, and light intensity). For this reason, they should be properly stored along the supply chain to guarantee the desired quality to the consumers. Specifically, ameliorating items face an increase in value if there are stored for longer periods, which can lead to higher selling price. At the same time, the costumers’ demand is sensitive to the price (i.e., the higher the selling price the lower the final demand), sensitiveness that is related to the quality of the products (i.e., lower sensitiveness for high-quality products). On the contrary, deteriorating items lose quality and value over time which result in revenue losses due to lost sales or reduced selling price. Since these products need to be properly stored (i.e., usually in temperature- and humidity-controlled warehouses) the holding costs, which comprise also the energy costs, may be particularly relevant impacting on the economic, environmental, and social sustainability of the supply chain. Furthermore, due to the recent economic crisis, companies (especially, small and medium enterprises) face payment difficulties of customers and high volatility of resources prices. This increases the risk of insolvency and on the other hand the financing needs. In this context, supply chain finance emerged as a mean for efficiency by coordinating the financial flow and providing a set of financial schemes aiming at optimizing accounts payable and receivable along the supply chain. The aim of the present study is thus to investigate through a systematic literature review the two main themes presented (i.e., inventory management models for products that change value over time, and financial techniques and strategies to support companies in inventory management) to understand if any financial technique has been studied for supporting the management of this class of products and to verify the existing literature gap.","Marchi B., Zavanella L.E., Zanoni S.",Supply chain finance for ameliorating and deteriorating products: a systematic literature review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134659323&doi=10.1007%2fs11573-022-01108-6&partnerID=40&md5=2f167927f9060ad256a1177b9df5dab8
